"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Adrian Peterson","","","RB1","","","1.0"
"2","Le","","'Veon Bell","","","RB2","","","3.0"
"3","Eddie Lacy","","","RB3","","","3.0"
"4","Jamaal Charles","","","RB4","","","3.3"
"5","Marshawn Lynch","","","RB5","","","4.8"
"6","Antonio Brown","","","WR1","","","6.8"
"7","Dez Bryant","","","WR2","","","10.2"
"8","Andrew Luck","","","QB1","","","10.8"
"9","Matt Forte","","","RB6","","","10.8"
"10","C.J. Anderson","","","RB7","","","11.3"
"11","DeMarco Murray","","","RB8","","","12.0"
"12","Rob Gronkowski","","","TE1","","","12.2"
"13","Aaron Rodgers","","","QB2","","","12.3"
"14","Demaryius Thomas","","","WR3","","","12.5"
"15","Jeremy Hill","","","RB9","","","14.0"
"16","Julio Jones","","","WR4","","","14.0"
"17","Odell Beckham Jr.","","","WR5","","","14.5"
"18","Calvin Johnson","","","WR6","","","16.8"
"19","LeSean McCoy","","","RB10","","","18.0"
"20","Randall Cobb","","","WR7","","","20.3"
"21","A.J. Green","","","WR8","","","20.3"
"22","T.Y. Hilton","","","WR9","","","24.2"
"23","Justin Forsett","","","RB11","","","24.5"
"24","Alshon Jeffery","","","WR10","","","25.3"
"25","Jimmy Graham","","","TE2","","","27.5"
"26","Lamar Miller","","","RB12","","","28.7"
"27","Mike Evans","SF","10","WR11","","","29.2"
"28","Mark Ingram","II","","RB13","","","29.8"
"29","Peyton Manning","","","QB3","","","30.0"
"30","Brandin Cooks","","","WR12","","","31.5"
"31","Frank Gore","","","RB14","","","32.2"
"32","Emmanuel Sanders","","","WR13","","","32.7"
"33","DeAndre Hopkins","BAL","9","WR14","","","34.7"
"34","Russell Wilson","","","QB4","","","35.5"
"35","Drew Brees","","","QB5","","","35.5"
"36","Alfred Morris","","","RB15","","","35.8"
"37","Jordan Matthews","","","TE3","","","36.0"
"38","Melvin Gordon","III","","RB16","","","36.3"
"39","Latavius Murray","","","RB17","","","39.2"
"40","Carlos Hyde","","","RB18","","","41.0"
"41","Andre Johnson","","","WR15","","","43.8"
"42","Amari Cooper","","","WR16","","","47.0"
"43","Greg Olsen","","","TE4","","","47.0"
"44","Ben Roethlisberger","","","QB6","","","47.2"
"45","Julian Edelman","","","WR17","","","47.2"
"46","Andre Ellington","","","RB19","","","48.3"
"47","Golden Tate","","","WR18","","","50.7"
"48","Jonathan Stewart","","","RB20","","","52.5"
"49","Travis Kelce","KC","9","TE5","","","52.5"
"50","Keenan Allen","LAC","","WR19","","","54.2"
"51","Jeremy Maclin","","","WR20","","","54.5"
"52","Joseph Randle","","","RB21","","","55.0"
"53","DeSean Jackson","","","WR21","","","55.2"
"54","Matt Ryan","","","QB7","","","57.0"
"55","Arian Foster","","","RB22","","","58.2"
"56","Tony Romo","","","QB8","","","58.2"
"57","Sammy Watkins","","","WR22","","","59.2"
"58","Tom Brady","","","QB9","","","61.0"
"59","Brandon Marshall","","","WR23","","","61.0"
"60","Jarvis Landry","","","WR24","","","62.8"
"61","Martellus Bennett","","","TE6","","","64.0"
"62","Davante Adams","LAR","","WR25","","","65.3"
"63","T.J. Yeldon","","","RB23","","","66.7"
"64","Seattle Seahawks","DST","9","DST1","","","67.8"
"65","Todd Gurley","II","","RB24","","","69.7"
"66","Vincent Jackson","","","WR26","","","70.3"
"67","Chris Ivory","","","RB25","","","71.3"
"68","Ameer Abdullah","","","RB26","","","72.3"
"69","LeGarrette Blount","","","RB27","","","72.8"
"70","Rashad Jennings","","","RB28","","","73.3"
"71","Joique Bell","","","RB29","","","73.5"
"72","Doug Martin","","","RB30","","","74.8"
"73","Matthew Stafford","LAR","","QB10","","","77.3"
"74","Jason Witten","","","TE7","","","77.7"
"75","Martavis Bryant","","","WR27","","","81.7"
"76","C.J. Spiller","","","RB31","","","82.0"
"77","Buffalo Bills","DST","8","DST2","","","82.3"
"78","Giovani Bernard","","","RB32","","","82.3"
"79","Allen Robinson","II","","WR28","","","83.5"
"80","Houston Texans","DST","9","DST3","","","84.2"
"81","Mike Wallace","","","WR29","","","85.7"
"82","Nelson Agholor","","","WR30","","","86.7"
"83","Eli Manning","","","QB11","","","89.2"
"84","Cam Newton","","","QB12","","","89.3"
"85","Steve Smith","","","WR31","","","89.7"
"86","Jordan Cameron","","","TE8","","","91.5"
"87","Ryan Tannehill","","","QB13","","","92.7"
"88","Stephen Gostkowski","","","K1","","","95.0"
"89","Charles Johnson","","","WR32","","","97.3"
"90","Tevin Coleman","","","RB33","","","97.3"
"91","Isaiah Crowell","","","RB34","","","97.5"
"92","Larry Fitzgerald","","","WR33","","","98.5"
"93","Roddy White","","","WR34","","","99.2"
"94","Los Angeles Rams","DST","","DST4","","","99.8"
"95","Philip Rivers","","","QB14","","","101.3"
"96","John Brown","","","WR35","","","102.0"
"97","Alfred Blue","","","RB35","","","104.2"
"98","Victor Cruz","","","WR36","","","105.0"
"99","Ryan Mathews","","","RB36","","","105.3"
"100","Sam Bradford","","","QB15","","","107.7"
"101","Eric Decker","","","WR37","","","108.0"
"102","Tre Mason","","","RB37","","","109.3"
"103","Torrey Smith","","","WR38","","","110.3"
"104","Anquan Boldin","","","WR39","","","110.5"
"105","Delanie Walker","","","TE9","","","111.0"
"106","Adam Vinatieri","","","K2","","","111.7"
"107","Julius Thomas","","","TE10","","","112.8"
"108","Darren McFadden","","","RB38","","","112.8"
"109","Shane Vereen","","","RB39","","","117.0"
"110","Devonta Freeman","","","RB40","","","119.3"
"111","Arizona Cardinals","DST","9","DST5","","","119.7"
"112","Zach Ertz","","","TE11","","","120.2"
"113","Philadelphia Eagles","DST","8","DST6","","","120.5"
"114","Marques Colston","","","WR40","","","121.0"
"115","Michael Floyd","","","WR41","","","121.5"
"116","Devin Funchess","","","WR42","","","122.5"
"117","Teddy Bridgewater","DET","9","QB16","","","123.8"
"118","Pierre Garcon","","","WR43","","","128.3"
"119","Owen Daniels","","","TE12","","","128.7"
"120","Kendall Wright","","","WR44","","","130.2"
"121","Bishop Sankey","","","RB41","","","131.0"
"122","Dwayne Allen","","","TE13","","","107.0"
"123","Green Bay Packers","DST","7","DST7","","","134.0"
"124","Antonio Gates","","","TE14","","","135.7"
"125","Stephen Hauschka","","","K3","","","135.8"
"126","Darren Sproles","","","RB42","","","136.2"
"127","Mason Crosby","","","K4","","","136.3"
"128","Dan Bailey","","","K5","","","139.2"
"129","DeAngelo Williams","","","RB43","","","139.5"
"130","Terrance Williams","","","WR45","","","140.0"
"131","Colin Kaepernick","","","QB17","","","140.8"
"132","Baltimore Ravens","DST","9","DST8","","","141.2"
"133","Justin Tucker","","","K6","","","141.2"
"134","Reggie Bush","","","RB44","","","141.3"
"135","New England Patriots","DST","4","DST9","","","142.0"
"136","Duke Johnson Jr.","","","RB45","","","142.8"
"137","Tyler Eifert","","","TE15","","","143.7"
"138","Joe Flacco","CIN","7","QB18","","","124.0"
"139","Brandon LaFell","","","WR46","","","125.6"
"140","Miami Dolphins","DST","5","DST10","","","125.6"
"141","DeVante Parker","","","WR47","","","147.3"
"142","Carson Palmer","","","QB19","","","147.3"
"143","Charles Sims","","","RB46","","","148.0"
"144","Denver Broncos","DST","7","DST11","","","148.2"
"145","Jordy Nelson","","","WR48","","","96.5"
"146","Eddie Royal","","","WR49","","","129.2"
"147","Kyle Rudolph","","","TE16","","","150.8"
"148","Danny Woodhead","","","RB47","","","152.0"
"149","Coby Fleener","","","TE17","","","135.4"
"150","Vernon Davis","","","TE18","","","156.5"
"151","Jay Cutler","","","QB20","","","137.8"
"152","New York Jets","DST","5","DST12","","","138.2"
"153","Percy Harvin","","","WR50","","","158.5"
"154","Andre Williams","","","RB48","","","160.5"
"155","David Johnson","","","RB49","","","161.2"
"156","Michael Crabtree","","","WR51","","","161.2"
"157","Breshad Perriman","","","WR52","","","161.3"
"158","Marcus Mariota","WAS","8","QB21","","","163.0"
"159","Cody Parkey","","","K7","","","148.6"
"160","Knile Davis","","","RB50","","","149.4"
"161","Ronnie Hillman","","","RB51","","","150.4"
"162","Kansas City Chiefs","DST","9","DST13","","","168.2"
"163","Cody Latimer","","","WR53","","","172.3"
"164","Alex Smith","","","QB22","","","156.8"
"165","Matt Bryant","","","K8","","","173.5"
"166","Heath Miller","","","TE19","","","158.6"
"167","Jameis Winston","NYG","11","QB23","","","161.0"
"168","Doug Baldwin","","","WR54","","","161.2"
"169","Carolina Panthers","DST","5","DST14","","","161.4"
"170","David Cobb","","","RB52","","","163.0"
"171","Steve Johnson","","","WR55","","","163.8"
"172","Dan Carpenter","","","K9","","","143.0"
"173","Derek Carr","","","QB24","","","166.2"
"174","Matt Prater","","","K10","","","180.7"
"175","Dorial Green-Beckham","","","WR56","","","180.8"
"176","Sebastian Janikowski","","","K11","","","184.0"
"177","Tyler Lockett","LV","","WR57","","","172.8"
"178","Richard Rodgers","","","TE20","","","176.0"
"179","Brian Quick","","","WR58","","","157.8"
"180","Kelvin Benjamin","","","WR59","","","161.7"
"181","Markus Wheaton","","","WR60","","","167.5"
"182","Dallas Cowboys","DST","6","DST15","","","165.5"
"183","Jonas Gray","","","RB53","","","137.0"
"184","Nick Foles","","","QB25","","","166.0"
"185","Matt Jones","","","RB54","","","167.0"
"186","Charles Clay","","","TE21","","","168.8"
"187","Kenny Stills","","","WR61","","","169.0"
"188","Montee Ball","","","RB55","","","172.3"
"189","Minnesota Vikings","DST","5","DST16","","","199.3"
"190","Andy Dalton","PHI","8","QB26","","","175.3"
"191","Kevin White","","","WR62","","","152.0"
"192","Brandon Coleman","","","WR63","","","177.3"
"193","Josh Hill","","","TE22","","","153.0"
"194","Fred Jackson","","","RB56","","","196.0"
"195","Marvin Jones Jr.","","","WR64","","","179.8"
"196","Rueben Randle","","","WR65","","","183.0"
"197","Terrance West","","","RB57","","","183.3"
"198","Cincinnati Bengals","DST","7","DST17","","","183.3"
"199","Donte Moncrief","","","WR66","","","185.0"
"200","Pittsburgh Steelers","DST","11","DST18","","","187.5"
"201","Denard Robinson","","","RB58","","","188.5"
"202","Malcom Floyd","","","WR67","","","169.0"
"203","Connor Barth","","","K12","","","186.7"
"204","Larry Donnell","","","TE23","","","171.3"
"205","James Jones","","","WR68","","","171.3"
"206","Detroit Lions","DST","9","DST19","","","193.3"
"207","Blair Walsh","","","K13","","","205.6"
