"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Todd Gurley","II","","RB1","","","","1.0"
"2","Le","","'Veon Bell ","","","RB2","","","","2.0"
"3","David Johnson","","","RB3","","","","3.5"
"4","Ezekiel Elliott","","","RB4","","","","3.5"
"5","Antonio Brown","","","WR1","","","","5.0"
"6","Alvin Kamara","NO","6","RB5","","","","6.5"
"7","Saquon Barkley","PHI","9","RB6","","","","6.5"
"8","DeAndre Hopkins","BAL","10","WR2","","","","9.0"
"9","Leonard Fournette","","","RB7","","","","9.0"
"10","Melvin Gordon","III","","RB8","","","","10.0"
"11","Kareem Hunt","","","RB9","","","","10.0"
"12","dell Beckham Jr.","O","","WR3","","","","12.0"
"13","Julio Jones","","","WR4","","","","14.0"
"14","Dalvin Cook","","","RB10","","","","14.0"
"15","Christian McCaffrey","SF","11","RB11","","","","15.0"
"16","Michael Thomas","","","WR5","","","","15.5"
"17","Keenan Allen","LAC","8","WR6","","","","18.0"
"18","Devonta Freeman","","","RB12","","","","18.5"
"19","Davante Adams","LAR","12","WR7","","","","18.5"
"20","Jordan Howard","","","RB13","","","","19.0"
"21","A.J. Green ","","","WR8","","","","21.5"
"22","Rob Gronkowski","","","TE1","","","","22.5"
"23","Joe Mixon","","","RB14","","","","23.5"
"24","Mike Evans","SF","11","WR9","","","","23.5"
"25","LeSean McCoy","","","RB15","","","","25.0"
"26","Tyreek Hill","","","WR10","","","","25.5"
"27","Stefon Diggs","","","WR11","","","","29.5"
"28","T.Y. Hilton","","","WR12","","","","29.5"
"29","Travis Kelce","KC","12","TE2","","","","31.0"
"30","Aaron Rodgers","","","QB1","","","","31.0"
"31","Alex Collins ","","","RB16","","","","32.5"
"32","Adam Thielen","","","WR13","","","","32.5"
"33","Derrick Henry","BAL","10","RB17","","","","32.5"
"34","Doug Baldwin","","","WR14","","","","33.5"
"35","Kenyan Drake","","","RB18","","","","35.0"
"36","Amari Cooper","","","WR15","","","","37.0"
"37","Larry Fitzgerald","","","WR16","","","","38.0"
"38","Zach Ertz","","","TE3","","","","38.5"
"39","Jay Ajayi ","","","RB19","","","","41.0"
"40","JuJu Smith-Schuster","","","WR17","","","","41.5"
"41","Royce Freeman","","","RB20","","","","43.0"
"42","Brandin Cooks","","","WR18","","","","44.0"
"43","Lamar Miller","","","RB21","","","","44.5"
"44","Josh Gordon ","","","WR19","","","","45.0"
"45","Demaryius Thomas ","","","WR20","","","","46.0"
"46","Jarvis Landry","","","WR21","","","","46.0"
"47","Mark Ingram II ","","","RB22","","","","48.0"
"48","Deshaun Watson","CLE","11","QB2","","","","48.0"
"49","Allen Robinson","II","","WR22","","","","50.5"
